True\Pred,0,1,2,3,4,5,6,7,8,9
0,959,0,2,4,0,4,6,2,0,3
1,0,1081,9,10,0,5,22,5,3,0
2,14,0,808,154,5,8,21,8,1,13
3,6,1,58,848,0,43,9,21,14,10
4,1,3,8,0,842,7,22,5,1,93
5,8,1,9,149,15,627,44,10,24,5
6,22,3,23,0,9,31,868,0,1,1
7,4,6,8,26,17,1,1,857,2,106
8,9,4,102,675,10,104,28,12,16,14
9,5,4,5,24,40,3,2,44,2,880
